id,label,obsolete,ordering
un,un,0,1000
ml,ml,0,1010
l,l,0,1020
mm,mm,0,1030
mm2,mm2,0,1040
mm3,mm3,0,1050
cm,cm,0,1060
cm2,cm2,0,1070
cm3,cm3,0,1080
