id,authoring_tool,cad_doctype,cad_metadata_type,cad_metadata_name,description,obsolete
39,SolidWorks,SLDDTB,FIX,Title,Title,0
40,SolidWorks,SLDDTB,FIX,TB_FILENAME,Reference,0
41,SolidWorks,SLDDTB,FIX,AuthoringTool,AuthoringTool,0
42,SolidWorks,SLDDTB,FIX,AuthoringToolVersion,AuthoringToolVersion,0
43,SolidWorks,SLDDTB,FIX,IntegrationTool,Integration Tool,0
44,Catia,CATDRAWING,FIX,FILENAME,Reference,0
45,Catia,CATDRAWING,PRP,ESTADO,Lifecycle State,0
46,Catia,CATDRAWING,PRP,MODIFICADO_POR,Modified by,0
47,Catia,CATDRAWING,PRP,FECHA_MODIFICACION,Modified at,0
48,Catia,CATDRAWING,PRP,DERECHOS_AUTOR,Copyright,0
49,Catia,CATDRAWING,SUM,Title,Title,0
50,Catia,CATDRAWING,SUM,Comments,Description,0
51,Catia,CATDRAWING,PRP,SheetScale,Sheet Scale,0
52,Catia,CATDRAWING,PRP,SheetFormatSize,Sheet Format,0
53,Catia,CATDRAWING,PRP,TotalSheets,Total Sheets,0
54,Catia,CATDRAWING,FIX,AuthoringTool,Authoring Tool,0
55,Catia,CATDRAWING,FIX,AuthoringToolVersion,Authoring Tool Version,0
56,Catia,CATDRAWING,FIX,IntegrationTool,Integration Tool,0
57,Catia,CATPART,FIX,FILENAME,Reference,0
58,Catia,CATPART,PRP,DERECHOS_AUTOR,Copyright,0
59,Catia,CATPART,SUM,Title,Title,0
60,Catia,CATPART,SUM,Comments,Description,0
61,Catia,CATPART,FIX,ActiveConfigurationName,Active Configuration,0
62,Catia,CATPART,FIX,Material,Material,0
63,Catia,CATPART,FIX,Mass,Mass,0
64,Catia,CATPART,FIX,MassUnit,Mass Unit,0
65,Catia,CATPART,FIX,Volume,Volume,0
66,Catia,CATPART,FIX,VolumeUnit,Volume Unit,0
67,Catia,CATPART,FIX,Surface,Surface,0
68,Catia,CATPART,FIX,SurfaceUnit,Surface Unit,0
69,Catia,CATPART,FIX,AuthoringTool,Authoring Tool,0
70,Catia,CATPART,FIX,AuthoringToolVersion,Authoring Tool Version,0
71,Catia,CATPART,FIX,IntegrationTool,Integration Tool,0
72,Catia,CATPRODUCT,FIX,FILENAME,Reference,0
73,Catia,CATPRODUCT,PRP,DERECHOS_AUTOR,Copyright,0
74,Catia,CATPRODUCT,SUM,Title,Title,0
75,Catia,CATPRODUCT,SUM,Comments,Description,0
76,Catia,CATPRODUCT,FIX,ActiveConfigurationName,Active Configuration,0
77,Catia,CATPRODUCT,FIX,Mass,Mass,0
78,Catia,CATPRODUCT,FIX,MassUnit,Mass Unit,0
79,Catia,CATPRODUCT,FIX,Volume,Volume,0
80,Catia,CATPRODUCT,FIX,VolumeUnit,Volume Unit,0
81,Catia,CATPRODUCT,FIX,Surface,Surface,0
82,Catia,CATPRODUCT,FIX,SurfaceUnit,Surface Unit,0
83,Catia,CATPRODUCT,FIX,AuthoringTool,Authoring Tool,0
84,Catia,CATPRODUCT,FIX,AuthoringToolVersion,Authoring Tool Version,0
85,Catia,CATPRODUCT,FIX,IntegrationTool,Integration Tool,0
86,Catia,CATDTB,FIX,Title,Title,0
87,Catia,CATDTB,FIX,TB_FILENAME,Reference,0
88,Catia,CATDTB,FIX,AuthoringTool,AuthoringTool,0
89,Catia,CATDTB,FIX,AuthoringToolVersion,AuthoringToolVersion,0
90,Catia,CATDTB,FIX,IntegrationTool,Integration Tool,0
