id,label,parent,obsolete,ordering
"Product quality","Calidad de producto","","0","001"
"Supplier Quality","Calidad de proveedores","","0","002"
"Technical features","Características Técnicas","","0","003"
"Certifications","Certificaciones","","0","004"
"Approvals","Homologaciones","","0","005"
"Legal regulations","Regulaciones legales","","0","006"
